City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
350,Ambulu,ID,80.13,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
356,Asilah,MA,80.56,broken clouds,35.465,-6.0348,Hotel Zelis
357,Hasaki,JP,86.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
359,Bubaque,GW,78.64,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
369,Jiutai,CN,82.74,clear sky,44.1525,125.8328,Jinhua Restaurant
370,Esperantina,BR,76.55,overcast clouds,-3.9017,-42.2336,Hotel Bela Vista
372,Shu,KZ,85.51,clear sky,43.5983,73.7614,Shyngyzkhan
373,Fare,PF,76.87,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
374,Awbari,LY,78.01,clear sky,26.5921,12.7805,فندق أوباري
381,Boyolangu,ID,78.26,overcast clouds,-8.1181,111.8935,Yos ega cv
382,Sabha,LY,77.63,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
390,Fukue,JP,78.71,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
391,Lethem,GY,75.02,overcast clouds,3.3803,-59.7968,Savannah Inn
392,Guymon,US,82.4,clear sky,36.6828,-101.4816,Simple Rewards
394,Chalisgaon,IN,76.68,overcast clouds,20.4667,75.0167,Shree Datta
397,Boueni,YT,75.18,clear sky,-12.9025,45.0761,The feet in water
398,Englewood,US,88.65,scattered clouds,39.6478,-104.9878,InTown Suites Extended Stay Denver CO - Englewood
399,Biltine,TD,80.02,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
407,Probolinggo,ID,83.79,overcast clouds,-7.7543,113.2159,Rumah Anggrek Syariah 1 RedPartner
408,Barcelona,ES,79.77,clear sky,41.3888,2.159,Axel Hotel Barcelona
415,Durant,US,88.16,clear sky,33.994,-96.3708,"Holiday Inn Express & Suites Durant, an IHG Hotel"
416,Pemangkat,ID,78.75,overcast clouds,1.1667,108.9667,Ramah Kost KITA
418,Bonthe,SL,76.55,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
420,Bilma,NE,89.6,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
423,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
425,Shimoda,JP,89.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
427,Eyl,SO,76.1,broken clouds,7.9803,49.8164,Amiin Hotel
428,Bagnara Calabra,IT,79.9,clear sky,38.2885,15.8078,Grand Hotel Victoria
433,Pizarro,CO,76.21,light rain,4.9533,-77.366,Hotel Limonar
435,El Campo,US,84.87,clear sky,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
441,Monroe,US,78.03,scattered clouds,43.1501,-77.6831,Rodeway Inn Rochester Airport
442,Kendari,ID,79.86,overcast clouds,-3.945,122.4989,Hotel Wixel
451,Isla Mujeres,MX,82.45,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
453,Papetoai,PF,78.39,light rain,-17.4961,-149.8729,Fare Vaihere
456,Tanete,ID,82.89,scattered clouds,-3.9443,119.7848,Wisma Tri Multi
462,Bandarbeyla,SO,76.62,clear sky,9.4942,50.8122,JABIR HOTEL
466,Kieta,PG,85.06,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
467,Srandakan,ID,79.95,overcast clouds,-7.9386,110.2506,Puri Brata
469,Huilong,CN,84.45,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
471,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
473,Toyooka,JP,77.05,broken clouds,35.5333,134.8333,O Hotel Toyooka
481,Jaque,PA,77.22,light rain,7.5175,-78.1703,Aventuras Jaque S.A
485,Fort Dodge,US,75.02,clear sky,42.4975,-94.168,"Country Inn & Suites by Radisson, Fort Dodge, IA"
