City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
96,Pergamino,AR,2022-07-22 02:17:58,-33.89,-60.5736,50.49,73,61,7.14,broken clouds
97,Le Port,RE,2022-07-22 02:17:58,-20.9373,55.2919,67.96,68,13,8.97,few clouds
98,Mar Del Plata,AR,2022-07-22 02:04:55,-38.0023,-57.5575,49.08,66,97,5.99,overcast clouds
99,Arraial Do Cabo,BR,2022-07-22 02:10:01,-22.9661,-42.0278,70.83,84,3,15.01,clear sky
100,Meulaboh,ID,2022-07-22 02:11:17,4.1363,96.1285,82.29,69,61,3.4,broken clouds
101,Georgetown,MY,2022-07-22 02:06:39,5.4112,100.3354,85.93,79,20,5.75,few clouds
102,Nanchang,CN,2022-07-22 02:17:59,28.6833,115.8833,93.47,56,47,8.81,scattered clouds
103,Port Alfred,ZA,2022-07-22 02:09:35,-33.5906,26.891,56.59,81,3,9.4,clear sky
104,Barrow,US,2022-07-22 02:10:01,71.2906,-156.7887,44.62,76,75,25.32,broken clouds
105,Peruibe,BR,2022-07-22 02:13:36,-24.32,-46.9983,64.31,95,34,3.15,scattered clouds
106,Simao,CN,2022-07-22 02:17:59,22.7886,100.9748,74.62,72,100,3.38,overcast clouds
107,Senneterre,CA,2022-07-22 02:17:59,48.3835,-77.2328,60.1,95,100,8.72,overcast clouds
108,Bonavista,CA,2022-07-22 02:09:28,48.6499,-53.1147,55.87,93,90,3.22,overcast clouds
109,Ostrovnoy,RU,2022-07-22 02:12:44,68.0531,39.5131,59.83,84,61,6.67,broken clouds
110,Port Macquarie,AU,2022-07-22 02:14:40,-31.4333,152.9167,60.89,81,96,15.43,overcast clouds
111,Takoradi,GH,2022-07-22 02:18:00,4.8845,-1.7554,73.02,78,20,6.93,few clouds
112,Strezhevoy,RU,2022-07-22 02:15:59,60.7333,77.5889,53.53,95,100,6.78,light rain
113,Poum,NC,2022-07-22 02:11:41,-20.2333,164.0167,77.9,80,100,18.54,overcast clouds
114,Jose Bonifacio,BR,2022-07-22 02:18:00,-21.0528,-49.6883,74.46,43,2,6.91,clear sky
115,Lima,PE,2022-07-22 02:11:35,-12.0432,-77.0282,57.45,82,100,12.66,overcast clouds
116,Provideniya,RU,2022-07-22 02:10:38,64.3833,-173.3,46.36,81,75,27.0,broken clouds
117,Nikolskoye,RU,2022-07-22 02:09:32,59.7035,30.7861,62.8,94,3,3.96,clear sky
118,Beringovskiy,RU,2022-07-22 02:10:59,63.05,179.3167,50.74,65,63,6.82,broken clouds
119,Katsuura,JP,2022-07-22 02:09:18,35.1333,140.3,84.22,86,54,17.09,broken clouds
120,Chengde,CN,2022-07-22 02:15:57,40.9725,117.9361,84.09,49,67,2.93,light rain
121,Burnie,AU,2022-07-22 02:10:52,-41.0667,145.9167,55.92,85,89,12.33,overcast clouds
122,Bungu,TZ,2022-07-22 02:18:01,-7.6337,39.0582,64.08,95,5,2.8,clear sky
123,Maceio,BR,2022-07-22 02:13:53,-9.6658,-35.7353,76.44,88,75,3.44,broken clouds
124,Zeya,RU,2022-07-22 02:18:02,53.75,127.2667,80.85,44,3,3.09,clear sky
125,Praia,CV,2022-07-22 02:18:02,14.9215,-23.5087,77.54,78,75,6.91,broken clouds
126,San Quintin,MX,2022-07-22 02:15:47,30.4833,-115.95,75.13,61,66,17.56,broken clouds
127,Muros,ES,2022-07-22 02:09:21,42.7762,-9.0603,67.68,81,100,14.18,overcast clouds
128,Antalaha,MG,2022-07-22 02:14:58,-14.9003,50.2788,67.08,89,78,8.08,light rain
129,Hrubieszow,PL,2022-07-22 02:18:03,50.805,23.8925,61.9,86,0,2.57,clear sky
130,Longyearbyen,SJ,2022-07-22 02:10:43,78.2186,15.6401,49.84,87,75,2.3,broken clouds
131,Yaan,NG,2022-07-22 02:15:34,7.3833,8.5667,70.39,96,81,6.2,broken clouds
132,Vao,NC,2022-07-22 02:10:36,-22.6667,167.4833,74.01,89,100,17.87,overcast clouds
133,Airai,TL,2022-07-22 02:08:01,-8.9266,125.4092,68.72,40,42,4.41,scattered clouds
134,Panguna,PG,2022-07-22 02:18:04,-6.3164,155.4848,83.28,48,39,3.74,scattered clouds
135,Ewa Beach,US,2022-07-22 02:18:04,21.3156,-158.0072,87.75,54,40,19.57,scattered clouds
136,Laguna,US,2022-07-22 02:13:44,38.421,-121.4238,101.44,28,0,11.5,clear sky
137,Avarua,CK,2022-07-22 02:10:24,-21.2078,-159.775,75.25,69,75,19.57,broken clouds
138,Aswan,EG,2022-07-22 02:18:05,24.0934,32.907,84.24,19,0,10.56,clear sky
139,Vilyuysk,RU,2022-07-22 02:18:05,63.7553,121.6247,57.38,89,100,6.35,overcast clouds
140,Challapata,BO,2022-07-22 02:18:05,-18.9,-66.7667,46.35,15,46,6.29,scattered clouds
141,Tilichiki,RU,2022-07-22 02:18:06,60.4667,166.1,64.24,44,1,2.77,clear sky
142,Nyurba,RU,2022-07-22 02:15:23,63.2842,118.3319,68.99,65,8,5.28,clear sky
143,Cockburn Town,TC,2022-07-22 02:12:28,21.4612,-71.1419,82.18,83,8,20.58,clear sky
144,Diffa,NE,2022-07-22 02:13:18,13.3154,12.6113,80.24,62,100,3.06,overcast clouds
145,Ponta Do Sol,PT,2022-07-22 02:10:21,32.6667,-17.1,70.72,81,7,7.18,clear sky
146,Marivan,IR,2022-07-22 02:18:06,35.5219,46.176,71.11,29,0,3.36,clear sky
147,Ayagoz,KZ,2022-07-22 02:18:07,47.9714,80.4392,74.19,41,55,5.5,broken clouds
148,Nanortalik,GL,2022-07-22 02:12:15,60.1432,-45.2371,48.69,80,4,4.9,clear sky
149,Valdivia,CL,2022-07-22 02:18:07,-39.8142,-73.2459,48.29,98,100,6.44,overcast clouds
150,Khurba,RU,2022-07-22 02:18:08,50.4072,136.8819,60.1,86,97,14.5,overcast clouds
151,Uchiza,PE,2022-07-22 02:18:08,-8.4592,-76.4633,72.12,83,98,2.77,overcast clouds
152,Amaigbo,NG,2022-07-22 02:18:08,5.7892,7.8383,72.45,96,98,3.51,overcast clouds
153,Moussoro,TD,2022-07-22 02:18:09,13.6408,16.4901,84.81,59,100,5.68,overcast clouds
154,Cayenne,GF,2022-07-22 02:10:31,4.9333,-52.3333,80.1,1,56,2.3,broken clouds
155,Litovko,RU,2022-07-22 02:11:27,49.2361,135.1742,68.31,76,85,13.02,overcast clouds
156,Hargeysa,SO,2022-07-22 02:18:09,9.56,44.065,68.07,54,34,30.04,scattered clouds
157,Linkou,CN,2022-07-22 02:18:10,45.3,130.2833,70.75,85,79,8.72,broken clouds
158,Lebyazhye,RU,2022-07-22 02:18:10,55.2689,66.4947,59.86,91,98,9.98,overcast clouds
159,Oriximina,BR,2022-07-22 02:18:10,-1.7656,-55.8661,74.17,91,73,3.58,broken clouds
160,Cartagena,CO,2022-07-22 02:15:06,10.3997,-75.5144,80.22,89,20,9.22,few clouds
161,Baiao,BR,2022-07-22 02:18:11,-2.7906,-49.6717,79.02,64,98,2.26,overcast clouds
162,Chake Chake,TZ,2022-07-22 02:09:57,-5.2459,39.7666,73.78,74,30,11.48,scattered clouds
163,Stykkisholmur,IS,2022-07-22 02:18:11,65.0757,-22.7297,52.95,82,98,2.93,overcast clouds
164,Te Anau,NZ,2022-07-22 02:14:56,-45.4167,167.7167,44.46,85,60,1.14,broken clouds
165,Buraydah,SA,2022-07-22 02:10:14,26.326,43.975,86.34,14,52,4.32,broken clouds
166,Kununurra,AU,2022-07-22 02:12:26,-15.7667,128.7333,82.38,17,0,9.22,clear sky
167,Hilo,US,2022-07-22 02:06:44,19.7297,-155.09,83.28,81,100,8.05,overcast clouds
